"","Site","Timestamp","Year","Month","Day","tmx","Date","Time"
"100","ORPHEE","1991.05.16",1991,5,16,18.6000003814697,1991-05-16,7805
"101","Parker_caging","1991.05.16",1991,5,16,27.6000003814697,1991-05-16,7805
"102","Ridgefield","1991.05.16",1991,5,16,19.8999996185303,1991-05-16,7805
"103","Sabah","1991.05.16",1991,5,16,30.1000003814697,1991-05-16,7805
"104","Sardinilla","1991.05.16",1991,5,16,30.3999996185303,1991-05-16,7805
"105","Satakunta","1991.05.16",1991,5,16,11.6000003814697,1991-05-16,7805
"106","BangorDIVERSE","1991.06.16",1991,6,16,15.1999998092651,1991-06-16,7836
"107","BEF_China","1991.06.16",1991,6,16,28.1000003814697,1991-06-16,7836
"108","BiodiversiTREE","1991.06.16",1991,6,16,29.8000011444092,1991-06-16,7836
"109","BIOTREE_Kal","1991.06.16",1991,6,16,16.7000007629395,1991-06-16,7836
"110","CM.Hartshorne","1991.06.16",1991,6,16,16.3999996185303,1991-06-16,7836
"111","CM.Hucking","1991.06.16",1991,6,16,16.3999996185303,1991-06-16,7836
"112","CommuniTree","1991.06.16",1991,6,16,21.6000003814697,1991-06-16,7836
"113","FORBIO_Ged","1991.06.16",1991,6,16,17.8000011444092,1991-06-16,7836
"114","FORBIO_Hek","1991.06.16",1991,6,16,17.8000011444092,1991-06-16,7836
"115","FORBIO_Zed","1991.06.16",1991,6,16,16,1991-06-16,7836
"116","Gazi_Bay","1991.06.16",1991,6,16,29,1991-06-16,7836
"117","IDENT.auclair","1991.06.16",1991,6,16,22,1991-06-16,7836
"118","IDENT.cloquet","1991.06.16",1991,6,16,23.7000007629395,1991-06-16,7836
"119","IDENT.MAC","1991.06.16",1991,6,16,23.8999996185303,1991-06-16,7836
"120","Kreinitz","1991.06.16",1991,6,16,20.2000007629395,1991-06-16,7836
"121","ORPHEE","1991.06.16",1991,6,16,21.6000003814697,1991-06-16,7836
"122","Parker_caging","1991.06.16",1991,6,16,30.1000003814697,1991-06-16,7836
"123","Ridgefield","1991.06.16",1991,6,16,16.8999996185303,1991-06-16,7836
"124","Sabah","1991.06.16",1991,6,16,29.8999996185303,1991-06-16,7836
"125","Sardinilla","1991.06.16",1991,6,16,29.7000007629395,1991-06-16,7836
"126","Satakunta","1991.06.16",1991,6,16,15.8000001907349,1991-06-16,7836
"127","BangorDIVERSE","1991.07.16",1991,7,16,20,1991-07-16,7866
"128","BEF_China","1991.07.16",1991,7,16,32.4000015258789,1991-07-16,7866
"129","BiodiversiTREE","1991.07.16",1991,7,16,31.6000003814697,1991-07-16,7866
"130","BIOTREE_Kal","1991.07.16",1991,7,16,24,1991-07-16,7866
"131","CM.Hartshorne","1991.07.16",1991,7,16,22.3999996185303,1991-07-16,7866
"132","CM.Hucking","1991.07.16",1991,7,16,22.3999996185303,1991-07-16,7866
"133","CommuniTree","1991.07.16",1991,7,16,26.8000011444092,1991-07-16,7866
"134","FORBIO_Ged","1991.07.16",1991,7,16,24.6000003814697,1991-07-16,7866
"135","FORBIO_Hek","1991.07.16",1991,7,16,25,1991-07-16,7866
"136","FORBIO_Zed","1991.07.16",1991,7,16,22.2000007629395,1991-07-16,7866
"137","Gazi_Bay","1991.07.16",1991,7,16,27.6000003814697,1991-07-16,7866
"138","IDENT.auclair","1991.07.16",1991,7,16,23.8999996185303,1991-07-16,7866
"139","IDENT.cloquet","1991.07.16",1991,7,16,24.7000007629395,1991-07-16,7866
"140","IDENT.MAC","1991.07.16",1991,7,16,28.1000003814697,1991-07-16,7866
"141","Kreinitz","1991.07.16",1991,7,16,26.5,1991-07-16,7866
"142","ORPHEE","1991.07.16",1991,7,16,26.8000011444092,1991-07-16,7866
"143","Parker_caging","1991.07.16",1991,7,16,32.2999992370605,1991-07-16,7866
"144","Ridgefield","1991.07.16",1991,7,16,15.8000001907349,1991-07-16,7866
"145","Sabah","1991.07.16",1991,7,16,29.8000011444092,1991-07-16,7866
"146","Sardinilla","1991.07.16",1991,7,16,30.2000007629395,1991-07-16,7866
"147","Satakunta","1991.07.16",1991,7,16,21.6000003814697,1991-07-16,7866
"148","BangorDIVERSE","1991.08.16",1991,8,16,20.3999996185303,1991-08-16,7897
"149","BEF_China","1991.08.16",1991,8,16,31.7000007629395,1991-08-16,7897
"150","BiodiversiTREE","1991.08.16",1991,8,16,31.6000003814697,1991-08-16,7897
"151","BIOTREE_Kal","1991.08.16",1991,8,16,22.8000011444092,1991-08-16,7897
"152","CM.Hartshorne","1991.08.16",1991,8,16,23,1991-08-16,7897
"153","CM.Hucking","1991.08.16",1991,8,16,23,1991-08-16,7897
"154","CommuniTree","1991.08.16",1991,8,16,29.3999996185303,1991-08-16,7897
"155","FORBIO_Ged","1991.08.16",1991,8,16,25.8000011444092,1991-08-16,7897
"156","FORBIO_Hek","1991.08.16",1991,8,16,25.3999996185303,1991-08-16,7897
"157","FORBIO_Zed","1991.08.16",1991,8,16,23.3000011444092,1991-08-16,7897
"158","Gazi_Bay","1991.08.16",1991,8,16,27.8000011444092,1991-08-16,7897
"159","IDENT.auclair","1991.08.16",1991,8,16,23,1991-08-16,7897
"160","IDENT.cloquet","1991.08.16",1991,8,16,26.8999996185303,1991-08-16,7897
"161","IDENT.MAC","1991.08.16",1991,8,16,28.6000003814697,1991-08-16,7897
"162","Kreinitz","1991.08.16",1991,8,16,24.5,1991-08-16,7897
"163","ORPHEE","1991.08.16",1991,8,16,29.3999996185303,1991-08-16,7897
"164","Parker_caging","1991.08.16",1991,8,16,31.3999996185303,1991-08-16,7897
"165","Ridgefield","1991.08.16",1991,8,16,17,1991-08-16,7897
"166","Sabah","1991.08.16",1991,8,16,30.2000007629395,1991-08-16,7897
"167","Sardinilla","1991.08.16",1991,8,16,29.5,1991-08-16,7897
"168","Satakunta","1991.08.16",1991,8,16,20.7000007629395,1991-08-16,7897
"169","BangorDIVERSE","1991.09.16",1991,9,16,18.5,1991-09-16,7928
"170","BEF_China","1991.09.16",1991,9,16,27.8000011444092,1991-09-16,7928
"171","BiodiversiTREE","1991.09.16",1991,9,16,27.3000011444092,1991-09-16,7928
"172","BIOTREE_Kal","1991.09.16",1991,9,16,19.8000011444092,1991-09-16,7928
"173","CM.Hartshorne","1991.09.16",1991,9,16,20.7000007629395,1991-09-16,7928
